2011-08-30 19:50:44 Debug: Notice (8): Undefined property: ThemeView::$Layout in [C:\wamp\www\croogo\app\views\elements\menu.ctp, line 3]
2011-08-30 19:56:11 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-30 19:58:02 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-30 19:58:22 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-30 19:58:59 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-30 19:59:01 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-30 19:59:02 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-31 13:56:46 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-31 13:57:24 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-08-31 13:58:54 Debug: Notice (8): Undefined property: ClippsSection::$ClippsMedium in [C:\wamp\www\croogo\app\plugins\clipping\controllers\clipps_sections_controller.php, line 29]
2011-09-06 13:37:31 Debug: Notice (8): Undefined property: File::$primaryKey in [C:\wamp\www\croogo\cake\libs\controller\scaffold.php, line 182]
2011-09-06 13:37:31 Debug: Notice (8): Undefined property: File::$displayField in [C:\wamp\www\croogo\cake\libs\controller\scaffold.php, line 183]
2011-09-06 18:01:35 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 48]
2011-09-06 18:02:43 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 48]
2011-09-06 18:02:59 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 48]
2011-09-06 18:02:59 Debug: Notice (8): Undefined index: title in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 51]
2011-09-06 18:03:37 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 48]
2011-09-06 18:05:37 Debug: Notice (8): Undefined variable: class in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 30]
2011-09-06 18:05:37 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 49]
2011-09-06 18:07:18 Debug: Notice (8): Undefined index: name in [C:\wamp\www\croogo\app\plugins\clipping\views\clipps\index.ctp, line 49]
